title,price,dealer_name,lat,long
2012 Jeep Wrangler Unlimited Sport,$23500,The Auto Store,43.113209,-78.69639352692307
2016 BMW X6 xDrive35i,$37659,Valley Cadillac,43.093182150000004,-77.58125894785404
2019 Toyota 4Runner SR5,$37293,North Coast Auto Mall of Bedford,41.39931105263158,-81.54470015789474
2018 Mercedes-Benz C-Class C 300 4MATIC,$37000,Mercedes-Benz of Wilkes-Barre,41.2550665,-75.83853596929617
2019 Ford Flex SEL,$33995,Suburban Ford of Sterling Heights,42.5898348,-83.03422791848709
2019 Ford Flex SEL,$30421,Pat Milliken Ford,42.3662761,-83.27452399076908
2019 Ford Mustang EcoBoost Premium,$30800,Jack Demmer Ford,42.28148497986839,-83.39787591934355
2020 Toyota Prius LE,$29454,Tri County Toyota,40.22088643943626,-75.54243162044268
2013 Toyota Highlander Limited,$25491,Sloane Toyota of Philadelphia,40.055843333333335,-75.07431633333333
2014 Lexus GX 460 Base,$33888,Ourisman Lexus,39.10879116705059,-77.15952770108233
2020 Toyota Corolla LE,$20000,Koons Sterling Ford,39.016869650000004,-77.378153878426
2017 BMW X3 xDrive28i,$24995,BM Motorcars,40.6030364892353,-74.26910110147625
2020 Lexus NX 300 F Sport,$43399,DARCARS Lexus of Englewood,40.894520227662156,-73.9722879931119
2018 Volvo XC60 T5 Inscription,$35991,Fitzgerald Auto Mall Wheaton,39.03552728571429,-77.04985783673469
2017 Hyundai Elantra SE,$20490,Easterns Automotive Group of Laurel- Curbside and Home Delivery Available,39.101102,-76.821686
2018 Mazda CX-5 Grand Touring,$27980,Ourisman Jeep,38.978317,-77.09149
2020 Chrysler 300 S,$34500,Koons Tysons Chrysler Dodge Jeep RAM,38.9177764,-77.23558638124621
2016 Mercedes-Benz S-Class S 550,$42444,Auto Buying Service,38.87139250929483,-77.2369953408023
2016 BMW M235 i xDrive,$22444,Auto Buying Service,38.87139250929483,-77.2369953408023
2017 Cadillac Escalade ESV Platinum,$49444,Auto Buying Service,38.87139250929483,-77.2369953408023
2014 Land Rover Range Rover 5.0L Supercharged,$36966,Merlex Auto Group,38.8764803,-77.1087201
2013 GMC Yukon Denali,$20798,Dan Tobin Chevrolet Buick GMC,40.11045225,-83.08328750615749
2017 Jeep Grand Cherokee Limited,$28200,Lustine Chrysler Jeep Dodge RAM,38.644507749554045,-77.26469540118966
2021 Toyota Supra 3.0,$57810,Bayside Chevrolet Toyota,38.562400499999995,-76.60039587705955
2020 Volvo XC90 T6 Inscription 7 Passenger,$63500,Volvo Cars of Fredericksburg,38.311608,-77.505395
2018 GMC Sierra 1500 SLT,$48692,The Used Car Factory,38.43081120730529,-76.72220547050016
2016 Land Rover Range Rover 3.0L Supercharged HSE,$50000,Alpha Motorsports Fredericksburg,38.27208745,-77.4946876
2020 Honda Civic LX,$23750,Bayside Pre-Owned Hollywood,38.3851398,-76.6314662
2016 Volvo XC60 T5 Premier,$22895,Xtreme Truck and Auto Center,43.05839846656489,-85.95474701614316
2018 Genesis G80 3.8,$35995,Mid-Towne Auto Center,39.49477650068675,-84.33669473815081
2015 Land Rover Range Rover Sport Supercharged HSE,$44998,The Highline Group,42.634545,-71.330786
2018 Mercedes-Benz GLA 250 4MATIC,$31995,Mercedes-Benz of Warwick,41.6953954,-71.49833199999999
2015 BMW 550 i xDrive,$29283,Eastside Motoring,42.3850774,-71.2637931711528
2019 Jeep Grand Cherokee Limited,$37588,Southern Dodge Chrysler Jeep Ram Fiat Norfolk,36.8843472,-76.2167063
2019 Honda Civic LX,$22790,Indy Honda,39.7731036,-86.1542341
2018 Acura MDX 3.5L,$29999,Automax Chicago,41.937717750000004,-87.74655252582644
2016 BMW X1 xDrive 28i,$23500,Elite Motors,42.361645,-87.875787
2016 BMW X1 xDrive 28i,$26500,Webb Chevy,41.72112607314471,-87.74094140134459
2020 Ford EcoSport Titanium,$22400,Napleton Off Lease,42.14231660649954,-88.00458957133496
2013 Chevrolet Suburban 1500 LTZ,$24990,Gillespie Ford,42.4154252,-88.1142509
2014 Mercedes-Benz S-Class S 550 4MATIC,$38995,Highline Auto Sales,41.749809476510066,-87.93793129530201
2019 Audi Q8 3.0T Premium,$72774,Perillo Downers Grove,41.80965145454545,-87.99448209090909
2019 Audi S5 3.0T Premium Plus,$56989,Motor Werks - Barrington Auto Mall ,42.133216653061226,-88.13629364285714
2018 Acura MDX 3.5L w/Technology Package,$37491,Audi Naperville,41.76587155,-88.18443167615875
2018 Audi A5 2.0T Prestige,$43991,Audi Naperville,41.76587155,-88.18443167615875
2016 Honda Odyssey Touring Elite,$25000,St. Charles Toyota,41.919298252858795,-88.28927801135809
